filename,prob,contains_pattern
img_0000.png,2.1715737602789886e-05,False
img_0001.png,1.3890468835597858e-05,False
img_0002.png,1.3673868124897126e-05,False
img_0003.png,1.4906988326401915e-05,False
img_0004.png,1.4821113836660516e-05,False
img_0005.png,0.004905642941594124,False
img_0006.png,1.807793705665972e-05,False
img_0007.png,1.7848287825472653e-05,False
img_0008.png,0.22864596545696259,True
img_0009.png,2.33150421991013e-05,False
img_0010.png,1.5094330592546612e-05,False
img_0011.png,1.682818947301712e-05,False
img_0012.png,8.307922144012991e-06,False
img_0013.png,1.6409332602052018e-05,False
img_0014.png,1.360002534056548e-05,False
img_0015.png,1.5529036318184808e-05,False
img_0016.png,5.732385034207255e-06,False
img_0017.png,1.801434700610116e-05,False
img_0018.png,5.34817354491679e-06,False
img_0019.png,2.434180350974202e-05,False
img_0020.png,4.4033927224518266e-06,False
img_0021.png,1.2988163689442445e-05,False
img_0022.png,0.8231692314147949,True
img_0023.png,2.0256578864064068e-05,False
img_0024.png,4.869927579420619e-06,False
img_0025.png,0.971682071685791,True
img_0026.png,9.517676517134532e-06,False
img_0027.png,0.0016246275044977665,False
img_0028.png,4.962714228895493e-05,False
img_0029.png,2.1127851141500287e-05,False
img_0030.png,6.620822205150034e-06,False
img_0031.png,1.7047557776095346e-05,False
img_0032.png,1.885158235381823e-05,False
img_0033.png,1.4244895282899961e-05,False
img_0034.png,8.134113159030676e-06,False
img_0035.png,2.2320751668303274e-05,False
img_0036.png,0.08703390508890152,True
img_0037.png,8.083015018200967e-06,False
img_0038.png,2.6176257961196825e-05,False
img_0039.png,2.5127963453996927e-05,False
img_0040.png,7.2264656409970485e-06,False
img_0041.png,5.510469236469362e-06,False
img_0042.png,2.022444095928222e-05,False
img_0043.png,1.6372738173231483e-05,False
img_0044.png,7.805973837093916e-06,False
img_0045.png,1.8119413653039373e-05,False
img_0046.png,1.9482120478642173e-05,False
img_0047.png,3.38198478857521e-05,False
img_0048.png,0.28748494386672974,True
img_0049.png,2.5812061721808277e-05,False
img_0050.png,1.4835340152785648e-05,False
img_0051.png,1.1266030014667194e-05,False
img_0052.png,2.2083156636654167e-06,False
img_0053.png,2.409070475550834e-05,False
img_0054.png,2.312125616299454e-05,False
img_0055.png,9.104589480557479e-06,False
img_0056.png,2.695819057407789e-05,False
img_0057.png,1.583963239681907e-05,False
img_0058.png,1.82540352398064e-05,False
img_0059.png,2.0696359570138156e-05,False
img_0060.png,8.730936315259896e-06,False
img_0061.png,4.199792329018237e-06,False
img_0062.png,0.7264452576637268,True
img_0063.png,2.1868048861506395e-05,False
img_0064.png,9.443357157579158e-06,False
img_0065.png,2.5379411454196088e-05,False
img_0066.png,2.146317820006516e-05,False
img_0067.png,1.5010011338745244e-05,False
img_0068.png,1.3952269000583328e-05,False
img_0069.png,4.941793577017961e-06,False
img_0070.png,1.7770025806385092e-05,False
img_0071.png,5.922815944359172e-06,False
img_0072.png,1.0311193364032079e-05,False
img_0073.png,1.492146748205414e-05,False
img_0074.png,3.1804263471713057e-06,False
img_0075.png,2.2356092813424766e-05,False
img_0076.png,1.858966425061226e-05,False
img_0077.png,5.593702553596813e-06,False
img_0078.png,9.002432307170238e-06,False
img_0079.png,2.0735218640766107e-05,False
img_0080.png,1.7254611520911567e-05,False
img_0081.png,1.254270841855032e-06,False
img_0082.png,1.7564358131494373e-05,False
img_0083.png,1.2447209883248433e-05,False
img_0084.png,6.19588445260888e-06,False
img_0085.png,0.032762736082077026,True
img_0086.png,2.377687269472517e-05,False
img_0087.png,8.736183190194424e-06,False
img_0088.png,1.5901110600680113e-05,False
img_0089.png,2.380396290391218e-05,False
img_0090.png,1.410233471688116e-05,False
img_0091.png,2.0554034563247114e-05,False
img_0092.png,1.9320041246828623e-05,False
img_0093.png,2.377302007516846e-05,False
img_0094.png,8.8990454969462e-06,False
img_0095.png,0.011369344778358936,True
img_0096.png,1.8537988580646925e-05,False
img_0097.png,3.307418126041739e-07,False
img_0098.png,1.8583695293727942e-07,False
img_0099.png,4.705198807641864e-05,False
img_0100.png,2.3842130758566782e-05,False
img_0101.png,1.9222452465328388e-05,False
img_0102.png,2.3875076294643804e-05,False
img_0103.png,6.568898243131116e-06,False
img_0104.png,1.8794626157614402e-05,False
img_0105.png,2.4996486899908632e-05,False
img_0106.png,1.6982863598968834e-05,False
img_0107.png,2.532429243728984e-05,False
img_0108.png,5.835506090079434e-05,False
img_0109.png,0.00033311772858724,False
img_0110.png,8.969798727775924e-06,False
img_0111.png,1.6098721971502528e-05,False
img_0112.png,1.360036367259454e-05,False
img_0113.png,6.092954572523013e-05,False
img_0114.png,8.288059689220972e-06,False
img_0115.png,1.5031413568067364e-05,False
img_0116.png,2.1960295271128416e-05,False
img_0117.png,4.528295448835706e-06,False
img_0118.png,1.4730704606336076e-05,False
img_0119.png,1.745466943248175e-05,False
img_0120.png,1.5826224625925533e-05,False
img_0121.png,8.057678314798977e-06,False
img_0122.png,2.094497176585719e-05,False
